,strategy_return
2023-10-18,10013472.65703819
2023-10-19,9941651.478782024
2023-10-20,9819237.766233461
2023-10-23,9790806.168411901
2023-10-24,9911575.645229124
2023-10-25,9569397.816704301
2023-10-26,9367158.713365747
2023-10-27,9332787.179525495
2023-10-30,9456746.858891252
2023-10-31,9545083.686830888
2023-11-01,9588672.390339194
2023-11-02,9633782.621399656
2023-11-03,9657000.539259944
2023-11-06,9646117.46964163
2023-11-07,9680755.26317534
2023-11-08,9660810.352244461
2023-11-09,9643659.523375526
2023-11-10,9695764.095997302
2023-11-13,9687713.894879611
2023-11-14,9735112.223433914
2023-11-15,9755871.906190224
2023-11-16,9787231.589718662
2023-11-17,9804583.152652768
2023-11-20,9853704.345011773
2023-11-21,9842583.234662808
2023-11-22,9853916.64809989
2023-11-24,9867147.862430835
2023-11-27,9869961.603349015
2023-11-28,9876012.750656541
2023-11-29,9894627.659974288
2023-11-30,9914671.210429156
2023-12-01,10003655.741535118
2023-12-04,9960446.038012628
2023-12-05,9964227.579475852
2023-12-06,9871288.642450633
2023-12-07,10040388.599539658
2023-12-08,10194360.061816363
2023-12-11,10216501.19362249
2023-12-12,10268262.625054715
2023-12-13,10443016.650415773
2023-12-14,10556166.423435194
2023-12-15,10557962.678961266
2023-12-18,10607027.740061216
2023-12-19,10770422.68124315
2023-12-20,10589174.087262923
2023-12-21,10781241.992055232
2023-12-22,10827662.14018998
2023-12-26,10939935.374644132
2023-12-27,11054669.270318832
2023-12-28,11095574.234281396
2023-12-29,10966711.961252902
2024-01-02,10459041.691208843
2024-01-03,10226417.795170236
2024-01-04,10252437.999494068
2024-01-05,10294733.77786778
2024-01-08,10620692.320460502
2024-01-09,10613815.853381015
2024-01-10,10573972.25966127
2024-01-11,10549652.160473533
2024-01-12,10426085.292453934
2024-01-16,10488415.703806344
2024-01-17,10411034.478725005
2024-01-18,10429840.562819226
2024-01-19,10749895.882660357
2024-01-22,10817583.991383297
2024-01-23,10835221.918582799
2024-01-24,10908423.165026484
2024-01-25,10959610.566241449
2024-01-26,10855019.177090757
2024-01-29,11094541.564334264
2024-01-30,10953836.792393385
2024-01-31,10731559.597890973
2024-02-01,10912156.932851318
2024-02-02,11143301.10932774
2024-02-05,11098781.583109627
2024-02-06,11205159.35310011
2024-02-07,11428076.185866747
2024-02-08,11986293.322417054
2024-02-09,12209095.647417236
2024-02-12,12488645.162727887
2024-02-13,11967473.098783538
2024-02-14,12844123.867124734
2024-02-15,13095004.468710702
2024-02-16,12648906.332859552
2024-02-20,12278027.698536754
2024-02-21,11882609.857849956
2024-02-22,12841363.85494939
2024-02-23,12796973.959548043
2024-02-26,13292319.80273663
2024-02-27,13463937.557897098
2024-02-28,13330125.689906923
2024-02-29,13431694.701721665
2024-03-01,13874391.880092632
2024-03-04,14265919.062343528
2024-03-05,13842568.81078513
2024-03-06,14267871.819278674
2024-03-07,14502766.934030939
2024-03-08,14437746.227845006
2024-03-11,13927230.139906181
2024-03-12,14223750.8216937
2024-03-13,14077208.174077643
2024-03-14,13638711.717945253
2024-03-15,13579928.065653177
2024-03-18,13568674.501630643
2024-03-19,13345995.83240412
2024-03-20,13843300.045186829
2024-03-21,14090261.755612746
2024-03-22,14037038.754068257
2024-03-25,14249712.286206003
2024-03-26,14022267.26937484
2024-03-27,14019359.26786439
2024-03-28,14012589.113838157
2024-04-01,14111542.205587553
2024-04-02,13990687.547835175
2024-04-03,14097716.66273599
2024-04-04,13760935.148266802
2024-04-05,13892005.673061064
2024-04-08,13892837.337152805
2024-04-09,13758595.725013686
2024-04-10,13778099.144623118
2024-04-11,14094662.12591966
2024-04-12,13669018.824432308
2024-04-15,13314771.99552232
2024-04-16,13480545.758143157
2024-04-17,13175394.696544189
2024-04-18,13054636.440820083
2024-04-19,12293333.025732592
2024-04-22,12530614.556182003
2024-04-23,12944520.385299176
2024-04-24,12774714.787955023
2024-04-25,12789803.03314264
2024-04-26,13191923.96169305
2024-04-29,13113712.342923699
2024-04-30,12819704.830690717
2024-05-01,12522383.801450755
2024-05-02,12908541.770642936
2024-05-03,13098610.68477673
2024-05-06,13516023.419952154
2024-05-07,13078202.975520454
2024-05-08,13116239.064794026
2024-05-09,13040205.155119052
2024-05-10,13061918.460411211
2024-05-13,13035302.177706186
2024-05-14,13288646.450038325
2024-05-15,13773513.32285369
2024-05-16,13508406.470570026
2024-05-17,13504386.08387227
2024-05-20,13722913.944569996
2024-05-21,13702941.457151517
2024-05-22,13653074.634074433
2024-05-23,13570719.972082937
2024-05-24,13928377.470917873
2024-05-28,14102428.07518908
2024-05-29,13877146.720611576
2024-05-30,13763449.23584154
2024-05-31,13629755.24621788
2024-06-03,13775322.47626411
2024-06-04,13811281.49903743
2024-06-05,14161017.839081261
2024-06-06,14118679.907770723
2024-06-07,14011752.265401378
2024-06-10,14140162.876629956
2024-06-11,14044131.48946175
2024-06-12,14326260.433844326
2024-06-13,14338357.616608018
2024-06-14,14318953.209911166
2024-06-17,14477978.415308317
2024-06-18,14585926.533387078
2024-06-20,14387226.60997527
2024-06-21,14218420.093678584
2024-06-24,14012406.984545592
2024-06-25,14251431.779086445
2024-06-26,14168220.472376883
2024-06-27,14127375.28912636
2024-06-28,14151116.412494091
2024-07-01,14303149.458511358
2024-07-02,14502569.287253706
2024-07-03,14829959.51556333
2024-07-05,14964050.812214123
2024-07-08,15062250.155457854
