,equal_weight
2022-03-23,8925974.467985649
2022-03-24,9086699.394970138
2022-03-25,9004893.351851944
2022-03-28,9142701.843964528
2022-03-29,9376998.897072315
2022-03-30,9216547.726626372
2022-03-31,9005367.527677042
2022-04-01,8997698.63456288
2022-04-04,9214621.564313808
2022-04-05,8947138.600125391
2022-04-06,8718823.646382278
2022-04-07,8679530.386975084
2022-04-08,8586570.453754036
2022-04-11,8488641.762353068
2022-04-12,8422982.062307306
2022-04-13,8577548.39383225
2022-04-14,8379573.0620419
2022-04-18,8361273.82795504
2022-04-19,8553043.194629846
2022-04-20,8283391.209980629
2022-04-21,8052945.067163964
2022-04-22,7841814.395814602
2022-04-25,7929558.263627527
2022-04-26,7618852.009902899
2022-04-27,7572812.847057903
2022-04-28,7871542.316543811
2022-04-29,7562752.897535541
2022-05-02,7755437.854412624
2022-05-03,7786190.241089704
2022-05-04,8060948.124935631
2022-05-05,7604773.064924883
2022-05-06,7452897.839101599
2022-05-09,7036986.065211877
2022-05-10,7033793.124555362
2022-05-11,6773525.075108209
2022-05-12,6915551.705839184
2022-05-13,7313634.985648041
2022-05-16,7180155.12126659
2022-05-17,7422544.576649587
2022-05-18,7103508.362347956
2022-05-19,7171291.721981802
2022-05-20,7119382.809031898
2022-05-23,7209006.45278111
2022-05-24,6983375.727766358
2022-05-25,7156278.063697044
2022-05-26,7408109.658302979
2022-05-27,7639691.510598859
2022-05-31,7616378.289142898
2022-06-01,7507897.343005823
2022-06-02,7792708.9597785175
2022-06-03,7548090.766583239
2022-06-06,7583148.872017049
2022-06-07,7688259.085201151
2022-06-08,7685144.313800607
2022-06-09,7424962.163138214
2022-06-10,7119169.883989079
2022-06-13,6717996.47925474
2022-06-14,6729559.3552773325
2022-06-15,6936093.544648807
2022-06-16,6595828.815587623
2022-06-17,6688242.805269048
2022-06-21,6893907.374785381
2022-06-22,6877799.609177828
2022-06-23,7037917.123985904
2022-06-24,7310960.246234009
2022-06-27,7229464.837347994
2022-06-28,7009780.359196374
2022-06-29,6939312.750560691
2022-06-30,6801439.384178202
2022-07-01,6850575.5933991475
2022-07-05,7035924.177464351
2022-07-06,7011373.129248526
2022-07-07,7255951.319759069
2022-07-08,7254379.93961723
2022-07-11,7016994.157659224
2022-07-12,6975053.085209483
2022-07-13,6944887.339008843
2022-07-14,6903809.683334831
2022-07-15,7110451.083427714
2022-07-18,7111129.782680339
2022-07-19,7344879.563187755
2022-07-20,7542933.485297587
2022-07-21,7626456.8585071
2022-07-22,7412257.979243407
2022-07-25,7385320.182428437
2022-07-26,7152295.075277159
2022-07-27,7470870.772660178
2022-07-28,7523994.700456406
2022-07-29,7598986.5115412185
2022-08-01,7645396.065067996
2022-08-02,7674753.050802046
2022-08-03,7926908.451621812
2022-08-04,7965412.46618905
2022-08-05,7948083.828957537
2022-08-08,7953321.855242447
2022-08-09,7780491.05726441
2022-08-10,8070993.903307058
2022-08-11,8064968.884556593
2022-08-12,8234451.181400003
2022-08-15,8244026.353417993
2022-08-16,8221875.439941832
2022-08-17,8049536.054167665
2022-08-18,8062417.571149317
2022-08-19,7827734.136041711
2022-08-22,7618284.146345508
