,strategy_return
2023-09-12,11349968.819438398
2023-09-13,11314393.464439686
2023-09-14,11368454.453842366
2023-09-15,11278673.579603659
2023-09-18,11223164.70178753
2023-09-19,11206302.086163323
2023-09-20,11094617.867078554
2023-09-21,10934785.9933218
2023-09-22,10904693.193035103
2023-09-25,10931590.388747362
2023-09-26,10841141.825732434
2023-09-27,10911688.762744641
2023-09-28,11029045.95630853
2023-09-29,11027927.06495828
2023-10-02,11002305.032409946
2023-10-03,10959972.099165583
2023-10-04,10973017.913605766
2023-10-05,10887267.213101719
2023-10-06,10929775.957993263
2023-10-09,10972989.52317627
2023-10-10,10996065.909350641
2023-10-11,10992123.907609982
2023-10-12,10986018.172654096
2023-10-13,10989280.504894784
2023-10-16,11011499.177944768
2023-10-17,11028925.652272169
2023-10-18,10985969.711638173
2023-10-19,10958904.374897717
2023-10-20,10923113.44916857
2023-10-23,10924334.11519147
2023-10-24,10937692.351006012
2023-10-25,10894090.078339549
2023-10-26,10845347.86201854
2023-10-27,10839289.074300487
2023-10-30,10845196.26528761
2023-10-31,10861888.73771511
2023-11-01,10870044.940493038
2023-11-02,10965730.544760762
2023-11-03,10976706.44536672
2023-11-06,10958795.34029252
2023-11-07,10945914.823790986
2023-11-08,10928588.732443975
2023-11-09,10894142.234989962
2023-11-10,10924846.21766075
2023-11-13,10950443.836161729
2023-11-14,10986588.01346676
2023-11-15,10999627.647021059
2023-11-16,10959455.367735822
2023-11-17,10986503.943127902
2023-11-20,11013346.423309922
2023-11-21,10977626.118190706
2023-11-22,10984598.353932908
2023-11-24,11001298.261661524
2023-11-27,11006963.681021357
2023-11-28,11033594.448675854
2023-11-29,11025313.685836658
2023-11-30,11009040.194963243
2023-12-01,11049470.40242086
2023-12-04,11028780.527950147
2023-12-05,11005487.665523116
2023-12-06,10997170.34599157
2023-12-07,11026137.18086258
2023-12-08,11044836.680747671
2023-12-11,11044697.39141672
2023-12-12,11021497.842857271
2023-12-13,11075229.835172683
2023-12-14,11167549.902419262
2023-12-15,11169118.506077906
2023-12-18,11199110.561472196
2023-12-19,11231624.067467263
2023-12-20,11198065.017772598
2023-12-21,11230663.611876134
2023-12-22,11236074.96292639
2023-12-26,11257092.154712958
2023-12-27,11262649.111266002
2023-12-28,11249073.103694705
2023-12-29,11235124.590883233
2024-01-02,10968475.728807528
2024-01-03,10836974.097951816
2024-01-04,10863201.50849908
2024-01-05,10894565.386734486
2024-01-08,11060725.698828729
2024-01-09,10987051.674052231
2024-01-10,11002312.342092453
2024-01-11,10933040.968601791
2024-01-12,10824554.545921171
2024-01-16,10785981.81645031
2024-01-17,10730556.20391185
2024-01-18,10774749.822521081
2024-01-19,10883112.126529988
2024-01-22,10911270.460602295
2024-01-23,10921650.76473714
2024-01-24,10914183.289823709
2024-01-25,10954016.935065655
2024-01-26,10949151.177852845
2024-01-29,11111105.725076072
2024-01-30,11050777.213780588
2024-01-31,10914626.195602374
2024-02-01,10972510.685231289
2024-02-02,11063003.7136837
2024-02-05,10930197.46043984
2024-02-06,11012832.721188143
2024-02-07,10890647.339016449
2024-02-08,10941708.135912156
2024-02-09,11002675.446181754
2024-02-12,11080120.6092431
2024-02-13,10901485.332004754
2024-02-14,11157525.798937637
2024-02-15,11250915.903749777
2024-02-16,11209353.572001982
2024-02-20,11114372.837461289
2024-02-21,11030458.47155938
2024-02-22,11209588.882813713
2024-02-23,11266077.032608755
2024-02-26,11368001.900106978
2024-02-27,11458354.910469508
2024-02-28,11416364.8419676
2024-02-29,11525081.174479784
2024-03-01,11625004.552900162
2024-03-04,11699249.248955164
2024-03-05,11591259.3111258
2024-03-06,11723488.253617028
2024-03-07,11863141.876283431
2024-03-08,11907429.205408502
2024-03-11,11846335.247490957
2024-03-12,11879496.97144727
2024-03-13,11882149.982253117
2024-03-14,11720500.344421426
2024-03-15,11719535.988704555
2024-03-18,11739235.412130695
2024-03-19,11676697.816827694
2024-03-20,11889229.27472355
2024-03-21,11994011.591985509
2024-03-22,11946205.876674581
2024-03-25,12037849.52061729
2024-03-26,11994347.055171108
2024-03-27,12017197.129840678
2024-03-28,12040487.216056129
2024-04-01,11982611.508652579
2024-04-02,11817494.616313672
2024-04-03,11891217.800231246
2024-04-04,11711033.94929447
2024-04-05,11659589.397580676
2024-04-08,11682470.973124567
2024-04-09,11563770.673059858
2024-04-10,11634887.49500105
2024-04-11,11785665.300720697
2024-04-12,11515380.1474543
2024-04-15,11291997.236065699
2024-04-16,11352896.2664731
2024-04-17,11230479.490590086
2024-04-18,11235787.36794172
2024-04-19,10841901.93304054
2024-04-22,11118435.89044943
2024-04-23,11369430.594389658
2024-04-24,11222436.531749668
2024-04-25,11300062.227485966
2024-04-26,11542997.53701757
2024-04-29,11548971.131895851
2024-04-30,11160713.017901963
2024-05-01,10881764.926382918
2024-05-02,11112838.298443679
2024-05-03,11290461.075576065
2024-05-06,11576492.25057204
2024-05-07,11437866.513424248
2024-05-08,11418635.651318328
2024-05-09,11424370.700437836
2024-05-10,11327331.96507542
2024-05-13,11360314.688058171
2024-05-14,11514573.925699143
2024-05-15,12052635.624917762
2024-05-16,11869610.80925482
2024-05-17,11959686.886595016
2024-05-20,12207094.697104331
2024-05-21,12165454.02062745
2024-05-22,12112031.089945924
2024-05-23,11976368.423304064
2024-05-24,12246294.214613087
2024-05-28,12303657.536263559
2024-05-29,12161367.817083254
2024-05-30,12009662.669710075
2024-05-31,11855345.60396954
2024-06-03,11887981.753885534
2024-06-04,11954165.222152734
2024-06-05,12189826.925091442
2024-06-06,12146195.491514457
2024-06-07,12026770.031302257
2024-06-10,12089765.947084747
2024-06-11,12015105.445783265
2024-06-12,12211511.598741082
2024-06-13,12331794.64686505
2024-06-14,12295191.338171884
2024-06-17,12505598.799649956
2024-06-18,12597636.783103043
2024-06-20,12534266.962733401
2024-06-21,12383940.065275857
2024-06-24,12089645.934863789
2024-06-25,12297528.215951419
2024-06-26,12204317.656854788
2024-06-27,12342003.750780156
2024-06-28,12155456.810703926
2024-07-01,12173341.363587579
2024-07-02,12227361.029066697
2024-07-03,12259322.069875212
2024-07-05,12292487.626088873
2024-07-08,12333385.977664743
2024-07-09,12349762.857522056
2024-07-10,12408262.328532835
2024-07-11,12322319.8519015
2024-07-12,12357099.304954639
