Date,NVDA,ONDS,FIG,AVDL,INTC,BTG,PLUG,AAL,SMCI,OWL,IBRX,TSLA,KLAR,PLTR,RIG,F,OXY,WMT,BAC,HIMS,SOFI,NOK,MPT,OPEN,AMZN,SNAP,LYG,CDE,AG,DNN,RELY,PSLV,PFE,IREN,RGTI,AMD,MU,BBD,BMNR,MSFT,MARA,PINS,DASH,RIVN,ACHR,CPNG,GRAB,BTE,WULF,NU,FSLY,T,HBAN,HL,SNDK,GOOGL,NFLX,CVNA,SMR,VZ,QBTS,AAPL,PATH,KVUE,HOOD,NGD,ET,CLSK,CIFR,TTD,EBAY,NIO,AUR,USAR,NBIS,CCL,UBER,COLD,RKLB,JBLU,HLN,XOM,SO,ETSY,IONQ,ABEV,STLA,APLD,PYPL,PANW,CNH,KGC,INFY,AEG,CORT,RIOT,ORCL,HST,PBR,EQT,PCG,OMC,CSCO,VALE,OBDC,FCX,LYFT,W,ARCC,CWAN,AVGO,CLF,SLB,DVN,CTRA,QS,MSTR,BKD,GOOG,NCLH
2023-09-11,473966000,198600,,285924.0,36349300,9013100,13445700,20957900,29538000,1982900,10009500,174667900,,55294700,8563300,34673600,7917300,11912100,34168300,2020900,19320600,17288000,8693400,9854600,56764500,16848000,8118600,7486700,2742200,7066900,1051100.0,2685400,27574400,1173900.0,5617400.0,50611300,9310400,13065900,,16583300,30366000,5220000,2392200,26320100.0,9361300,4202900.0,13866300,5961500,3332900,62588900.0,1834300,28625000,16200000,4249800,,20763400,29138000,9788600,1053400.0,18883900,2892500,58953100,12223800.0,42830600.0,5331800.0,1059000,10555600,8050600,969400,2991000,3848800,31145700,6333200.0,785400.0,,18092800,19007300,666400,3520000,21495200,6113800.0,14383600,2838600,4005900,11040900,7540300,5437500,3503900.0,12280100,4884200,5795800,9248100,5196600,778300,432600,16638000,22155600,5652300,21737000,4219700,11718000,875300,15842300,18737400,1974000,6583400,9992400,2872600,2790300,1374500.0,15710000,8588200,8392300,12427600,4412000,4321000,7537000,610600,17180800,12523400
2023-09-12,349256000,479900,,373107.0,55326600,5924500,14569700,20755000,22138000,2207000,8828800,135999900,,39497900,27499700,49507700,11441800,11757300,42284000,1904500,25495600,14259300,9884300,11359300,42668500,13528600,6760600,7370600,2726500,9060300,1830100.0,3124000,17987200,1300500.0,6762900.0,44413600,11062100,10124800,,17565500,36784700,5623400,1483200,23942100.0,10414700,4195500.0,17665000,6993300,7254200,26831700.0,1923800,27383300,17197900,5028700,,18405500,31240000,12242800,1092700.0,15784400,3665700,90370200,11358200.0,43697200.0,5042800.0,617400,9695600,8445100,1462300,2822100,4788300,38297000,6136700.0,168900.0,,15495000,18809000,1144900,12847400,12985900,6309300.0,20145800,3754600,3913000,21368900,8301900,7252000,3003200.0,12224300,5104600,7240600,9774400,6680000,748900,431400,20067300,68605700,6267000,10487900,4218000,13107100,778400,13916100,10806500,2736900,8955000,8311000,2310600,2444400,870800.0,16680000,7788000,11476400,8137200,4032300,4714700,7655000,1527700,15212900,9384100
2023-09-13,398355000,187900,,678410.0,35407800,5721900,12625200,58836000,25819000,3424400,4387800,111673700,,34354400,15655200,62579700,9142900,14364300,37215700,3223700,16819200,24397000,10086800,14311600,60465200,12832400,10942500,5539000,3610300,14872300,1340000.0,3581100,23853300,1383600.0,3925000.0,44702300,14525500,9959600,,16544400,29524400,12224100,1542700,15641900.0,5490600,8457800.0,86285700,6001800,4167400,24526900.0,3071200,30916600,16084500,4440100,,20749500,118430000,7451200,1900900.0,21027900,2721700,84267900,9578300.0,35434500.0,4808500.0,636700,9848100,8523600,542400,2531600,3583700,36890000,9446700.0,700.0,,23991200,12691800,1073800,5675200,22044100,2454900.0,13472800,3632100,3117600,13052500,28396300,5073200,1796000.0,9426600,3605400,7917100,7567300,4102400,786700,556200,13919300,27171000,6245000,13699700,3865300,22504500,1599000,13092200,13481200,2183400,5233600,7178500,2301400,2668000,869700.0,17413000,8820500,7914300,7766900,3597800,3560400,4786000,766700,16394900,12143500
2023-09-14,370097000,206500,,512689.0,30616500,5691200,17028200,31461300,24127000,2739600,3394600,107709800,,38572500,17990800,43461600,9851300,14923800,44634800,2498500,23642000,22829700,10198500,14576600,64033600,12847600,3771900,6544600,4224400,15747500,1071000.0,4114300,23759900,2623900.0,4078100.0,45920600,11170300,25871900,,20267000,35131000,11885200,2456500,21598400.0,7124300,6180000.0,18098700,6264000,9680100,17097800.0,2433300,55155000,17098000,6340800,,24751000,107090000,24359000,1708200.0,26570100,2272000,60895800,7420800.0,22195700.0,6470800.0,1095500,16086200,9987300,1060000,3139000,4078400,26475900,9859600.0,94900.0,,24656700,13068200,1542900,4963600,14163900,4516400.0,15210700,3698700,7410400,11911100,19488200,5007200,2037200.0,14564700,3802200,7698000,11570900,2914100,861500,756700,20371900,19849700,4881100,25285200,4590100,29880100,2143500,15760300,31659200,1839100,7455300,8667100,2808500,3391200,1130800.0,19648000,12465400,6862500,9639000,4584300,4330500,6699000,771800,19064600,14045700
2023-09-15,506831000,129500,,550996.0,68881200,28331000,20241700,25018500,45786000,21275300,4192600,133692300,,56271200,28234500,63982400,23148000,63925200,61661100,4147300,30508400,21273800,21070100,32888400,102909300,16283700,10661500,24262700,9538400,18548300,9525300.0,4497200,58063800,1561600.0,4400700.0,71103600,16416100,15314700,,37679800,26199700,11111400,6995700,38433200.0,19090300,6675400.0,14330400,7237000,15981000,36558900.0,5081500,80594200,23889600,22710600,,38919600,91167000,18086500,1815100.0,38205200,2709100,109259500,10950500.0,32265200.0,8992200.0,3501400,10758900,15665200,1536100,4216600,7598200,40105900,40250800.0,159400.0,,24302500,16130100,3744200,13269000,78318500,12745300.0,34568400,7353100,6547200,13729900,19021000,12395100,6209900.0,21843500,7147800,75300900,30783900,16969900,1081400,1594200,12896300,23215000,13039500,15994400,7924200,129453500,3101600,44029200,18507900,2109900,11064400,9562800,3371200,3544300,1595700.0,50190000,15489700,19793700,26185000,10826300,7339900,4988000,2708100,48958800,11431600
2023-09-18,500271000,519500,,394103.0,29322200,5780500,11135800,21613900,26113000,7281000,4458500,101543300,,37404100,16006700,47444100,7746800,12997800,25752300,2149700,22678700,15598400,13695600,10796500,42823500,20619800,8572900,4203500,4432000,13487900,2873400.0,2364000,25421900,1147400.0,4928400.0,49061300,12735700,11023500,,16834200,37718900,10261100,3954600,20517500.0,4769100,5666200.0,12394500,9747800,7343100,11048400.0,1958700,29972500,9506300,5074000,,21861300,47047000,12129500,1941000.0,16233700,2501000,67257600,7238100.0,18035300.0,5412100.0,896500,10298300,12716900,883700,3255500,4580500,22615000,10428200.0,800.0,,19251100,15025500,749400,3402700,21675900,4027500.0,14045300,3686800,3454300,10492000,13955900,6028800,4242700.0,14050000,3947600,6567900,7160400,3944300,806900,479900,22987200,11744100,4060800,14585300,5821800,14168900,1444500,11825000,31129700,1677900,6683100,10259200,5525000,2328200,790300.0,16541000,11253300,6232100,9265500,5810000,7763100,5781000,658700,16233600,9417900
2023-09-19,373064000,202800,,569405.0,53288100,8803000,12117600,25325000,20272000,5093900,2735900,103704000,,37804800,16149200,40900000,8150900,14019600,34888100,1522900,18091600,15787400,10983000,11713100,61482500,20100200,6741400,6565300,5663400,16333000,1132500.0,1368600,30323300,1362500.0,3660800.0,41704100,10399000,9183400,,16505900,23670200,33504800,4627400,33672800.0,5033900,11093800.0,21918000,34797900,4581100,12301300.0,2508800,33190500,10483300,5297500,,20353700,40768000,13385800,1234500.0,23379300,1338300,51826900,5805500.0,21142800.0,4583700.0,1047400,9218800,11143000,1569600,4049000,4308500,215935800,16383600.0,129000.0,,23552300,19180200,801200,17132800,15614400,1843800.0,12562900,3961500,3110600,9755800,12436000,5405200,2269800.0,11441800,7522600,8140100,9306600,3171400,951400,404900,19097400,9536100,3854700,28990300,8308000,15392400,1099500,10748500,67304800,1462600,12864800,8818100,2232400,1886300,1566300.0,13126000,13745400,9067700,9549400,5212200,6299800,5573000,535800,15479100,11868400
2023-09-20,367108000,239400,,433843.0,57660800,7749100,11237300,27822800,15696000,6852200,2343000,122514600,,37640500,14623900,37449600,6735500,10120800,26641100,1290000,21643900,11832700,15933900,19096500,46263700,24692100,8724800,5783500,5062000,8467800,1026800.0,3616900,24651400,1280300.0,2279600.0,55180600,15522100,13275400,,21436500,17914000,40018600,3121500,19550800.0,6324000,5351800.0,13639700,11039700,2817200,19092800.0,1655500,45303600,10811900,5495600,,29927500,38666000,9398500,1051600.0,23742000,1444700,58436200,5344000.0,15623200.0,4883500.0,902600,14828900,11618900,855900,3017600,4127600,122782100,5872400.0,2200.0,,22637100,22582000,1014800,6338900,10403500,3923000.0,11879900,4072900,2740700,14212600,7632100,7769300,3530700.0,11138900,3805200,5813600,9024000,4888100,849800,428500,16446300,8777100,4622600,16380100,5928600,12075200,1738700,12219900,16016700,1733700,7265000,9780200,1812900,2287300,781400.0,13681000,8569100,5351100,10362300,4993300,4212500,3826000,1515100,21473500,10345500
2023-09-21,450736000,932700,,659165.0,45240600,6669800,18378100,24978100,25497000,9547100,1800900,119951500,,73071800,12644400,40140500,10259900,18782400,39906000,1600500,29542000,9831900,25709700,35503000,70343300,21616300,8421700,6303600,5775800,6025100,970500.0,3151100,26980600,1491000.0,3467200.0,59704300,14978600,22403900,,35560400,16611200,11015100,5128600,20032800.0,7718000,6003400.0,13790300,8404300,4785700,16242400.0,2589400,33709200,12166800,4789100,,31503900,55479000,7293400,1083400.0,17993800,2656500,63149100,6382800.0,20599600.0,7251000.0,966500,13568100,7494000,1459300,3147100,13887000,49441400,10621100.0,200.0,,22663700,27865700,1242200,5162800,12669600,6038200.0,14400600,3982700,3967400,15438600,14422900,8057000,3150900.0,15361000,6383400,5767900,12743800,5630200,1054100,537700,15842100,12645800,4609100,18099600,6346100,13345100,1733100,37436100,20546100,1854000,12882000,9537300,2370500,2140300,679600.0,53654000,8325200,6841600,13741800,7253000,5630900,3656000,1389900,22058400,11249300
2023-09-22,479236000,385900,,712063.0,29232700,5948600,17319000,24670900,16011000,6083800,1464400,127524100,,47714500,11576800,65205500,7146300,13215000,41284400,1285000,38736100,10657800,17401300,18988500,59904300,11432500,11945500,13552000,4685300,11350400,1027900.0,5660800,28570800,917500.0,2406900.0,52169400,15487200,10681200,,21447900,17195700,9915700,1741300,24225700.0,7735000,5634600.0,8708200,9291200,3984200,15598500.0,1807400,33964400,10809200,4370400,,26397300,36928000,7872900,1048100.0,22740000,1358400,56725400,5326900.0,14865900.0,5370600.0,1714400,31382900,6224900,802800,2929500,8277900,36245100,17149300.0,300.0,,21291500,16158700,1219500,3693500,11025600,2811100.0,13197300,3528500,3621300,11661300,11873200,8424200,2608400.0,12756700,4437800,4243500,10022400,5319300,1119700,619200,10148700,11150000,5857900,8987600,4922900,9903700,1064100,17869500,16404900,1542400,7816000,10951100,2885200,2517400,897700.0,27764000,12616900,5979000,8357000,8300700,3971000,2825000,755600,17348700,16795400
2023-09-25,419091000,256500,,196247.0,21729400,7372800,12985100,24618800,25589000,6427400,2061000,104636600,,39693900,15514100,41219400,6234000,10459500,32749200,1558800,23107800,11623600,14438400,18635800,46017800,10074700,7782300,11805400,5014200,14254800,506400.0,2344800,19443700,1052700.0,3870200.0,43223700,14900000,10381800,,17836000,19232000,7109400,1880800,24477000.0,13873400,5590800.0,10990000,8044900,2935700,14163000.0,1815700,30428700,8930900,3830800,,20094600,37573000,7134000,1736600.0,17616900,1424800,46172700,4505800.0,16272000.0,3894800.0,626200,19853300,7576700,721200,2704000,3948800,56327000,12249500.0,73500.0,,29506500,9175400,690900,4554200,12175100,2030900.0,11316000,3038000,2738300,8908500,14225500,5700900,1922200.0,11493800,4254800,5930500,9520400,4992900,1019100,505100,15217300,8410000,5831800,9710100,3444500,13994200,1188800,14224400,34577200,2508000,6611100,11326300,2650700,3647000,987600.0,15648000,12005300,6279300,10594900,6055000,2777300,3851000,1722300,14650000,12682600
2023-09-26,402282000,281300,,211032.0,34198300,5668800,16085000,25467700,19898000,5936000,2605300,101993600,,37276200,13512200,41261000,6196300,14435700,42237400,1170200,22544900,16619800,16890800,15112000,73048200,25839900,10284200,6894400,5471600,14486800,629100.0,2276500,26015500,1200400.0,3198900.0,42866500,12752500,7939600,,26297600,16815800,7572200,1909000,37062100.0,7687100,5671700.0,11458800,10224900,4788200,13744600.0,1559800,35412000,12385800,3772800,,25718700,40894000,6880400,912000.0,18841600,593800,64588900,5326900.0,23574200.0,5751400.0,2097400,14293900,6166000,548100,2588900,5353400,42481600,9006400.0,43700.0,,26210700,11283600,1833600,3480300,15063400,4461800.0,11805400,3948400,3961200,8431100,26623900,7266400,2790800.0,11111900,4231600,5970400,9769200,5946500,1682700,563200,9306300,13209000,7164700,16180400,4630000,14014100,1311500,15618400,15038200,2497600,11739900,14620900,2865300,2745400,651500.0,17641000,10239700,5796100,8722300,5263300,3696600,3857000,1694900,20378800,12887500
2023-09-27,444935000,536600,,342884.0,44369100,7585400,22155800,29983300,28056000,7314400,1775300,136597200,,62780600,15392900,41616600,11679100,15711000,38296300,1268900,28227000,15534800,15567100,17256700,66553400,14303900,12319600,8951900,5260000,13018100,758500.0,3218400,26430100,1190600.0,4020800.0,51261500,20852300,20899100,,19410100,22627000,7148000,3760800,31254100.0,5413700,12107200.0,20921100,10873800,4200200,39762600.0,1345300,27561600,10596900,4618900,,22746500,38435000,7217700,946400.0,22083500,1646900,66921800,5839300.0,25270500.0,4445700.0,1238100,17224700,7945200,535200,3804900,5225600,24089900,5535500.0,5200.0,,25160200,16835100,1489400,4091300,12065300,5510200.0,23976200,4712500,3171400,15092400,29839700,5251700,4734800.0,19171000,5567400,6044400,11691800,10292100,2549200,563600,15833100,8916400,6153700,21724100,6979500,11514900,1357900,15845500,24758600,3752600,10358400,15807800,2400600,3538100,626500.0,15352000,12278500,7663100,12027900,4937100,4669600,3876000,1348800,18764200,16727900
2023-09-28,424663000,337600,,685809.0,32265300,8362600,18445300,35234200,27133000,10655300,2371800,117058900,,66590800,11879000,49109800,9156800,11617200,36734300,1804200,23539600,14859500,13190800,12765600,54555000,16715400,9482500,5373300,5136700,15071500,775700.0,1951400,28197600,896100.0,5114400.0,72542100,46749800,24849400,,19683600,24186700,7267400,3055800,23054300.0,5626700,10004800.0,14482300,7044400,6880100,33983100.0,2543100,27817600,16940000,5065800,,22513100,43699000,7386500,712000.0,18772100,1522000,56294400,7266700.0,32556800.0,3848900.0,2549600,18305100,11380800,1233200,3064900,4114900,55093400,8173500.0,0.0,,45202200,22199200,952900,3361700,27431200,4348900.0,16808100,5083500,3666800,15513900,29250300,11694200,3832500.0,11387600,4455600,5230600,12661400,18047500,2075400,585300,22547900,7373600,7791800,16015100,4248000,18579600,1209100,17204400,26473800,1818700,10314500,9141800,1814400,2565400,752000.0,16180000,10275000,7574000,6520600,4868100,4914500,6432000,1727200,18201400,16671800
2023-09-29,397830000,126300,,596744.0,28763700,7556600,18358300,33999300,33610000,10538800,3586000,128522700,,78055100,12820700,62364900,10063300,18842400,40645900,2028200,28779300,19342200,14516000,13326100,62411700,21165600,8501000,5348100,5340500,21354400,580600.0,3859900,42421400,1536100.0,2682400.0,56078600,24315500,10733000,,24147300,20212700,9242000,2747100,35885800.0,5245700,7747700.0,15580200,16883500,6711400,15543300.0,2139300,29640900,12991200,5942900,,30859800,42053000,7899100,983900.0,19787600,748400,51861100,6168800.0,27974900.0,4609800.0,3372000,14724200,8620300,702700,2643700,4798600,40994100,7503600.0,300.0,,91954900,14247000,1416700,3058300,16363000,7678300.0,18813600,4928500,3272900,13846200,15264400,9225500,3009500.0,10550300,4496400,5828400,11693000,9559900,2226300,5046800,14715100,7299100,9785200,16904000,4413400,26985400,1325700,13951200,13516100,2315300,10169400,8461100,2286700,3685200,915600.0,16481000,9435400,11279200,8856800,4998800,4172700,3920000,1215800,23237300,28030200
2023-10-02,433298000,128500,,721394.0,26086200,6987800,36648900,38342700,34866000,6156700,2429700,123810400,,41043900,19520500,51204000,10859900,12992700,50388600,1895100,20000300,19387900,11364600,12542600,48029700,15763200,12748300,6245400,7097900,11893500,895600.0,6805600,44620600,3034100.0,2383500.0,45118600,14880500,14174800,,20570000,42145500,5670500,2651500,49561600.0,4443500,4904800.0,19845600,13912800,10342400,17136900.0,1725900,36600200,13651800,11384100,,22288000,31021000,7321500,1574200.0,24722600,699800,52164500,5446300.0,25296300.0,5825400.0,3914300,17022300,13632900,1740500,2525400,3622900,38390600,7019900.0,0.0,,38918600,14976700,1505700,2907000,16303700,6743500.0,14395000,7772700,4441000,7661500,11026800,5722700,3041100.0,12961500,5064200,5422600,12285100,4529900,925400,1630900,32634600,5963500,6158300,17701500,5434300,33637400,1385000,13934000,13755300,3049200,8687500,5391700,2780000,3726300,723100.0,14676000,9724500,7553600,10400300,7588900,3684000,8535000,1359300,19210400,14375800
2023-10-03,470850000,199500,,717307.0,45292600,7103000,25957200,40692300,37898000,11016000,1968500,101985300,,51578100,18501600,55074700,7765900,11253300,62144500,2948600,36674900,21046900,14279100,14150100,51565000,17300000,14564200,7088500,5684400,9461700,864700.0,4186000,31059900,1378300.0,3570000.0,48117000,12481500,14217800,,21033500,33702900,7645800,2401800,42257500.0,3655100,5420000.0,27370300,11515500,5810500,14883200.0,2381800,36830800,10998600,6249000,,22989400,88781000,7310500,2158100.0,21389400,1529600,49594600,11905900.0,24924500.0,4405500.0,3302400,16255500,10881700,964100,2549500,3673200,27185700,5855600.0,100.0,,53693600,11033400,2139100,3802100,17849100,4897400.0,13297100,8589500,3015200,8441400,12136800,5975400,4787800.0,12014000,4205200,5594800,11466700,6775000,1117600,783300,19688400,8783300,8781400,20817700,5685800,27819200,1045700,15700600,15291000,2372200,11198100,7227500,5429400,4314700,1014900.0,18761000,11029600,8407900,8624300,5016300,6474600,6453000,1589300,19628700,19437900
