Date,ONDS,NVDA,NOK,F,AES,PLUG,NFLX,PLTR,INTC,MARA,AAL,SOFI,VG,NIO,TSLA,NU,CCL,RIG,NCLH,OXY,PBR,CRCL,BMNR,AAOI,IBRX,AMD,AMZN,XOM,MU,IREN,ITUB,SOUN,OPEN,CRWV,HOOD,AG,PSLV,AAPL,MSFT,WULF,SMCI,JOBY,BAC,AGNC,SMR,PFE,SNAP,RKT,PSKY,OWL,ACHR,BBD,STLA,SLB,HIMS,RGTI,GRAB,GOOGL,MSTR,BTE,SNDK,NVO,T,QBTS,U,ORCL,C,DNN,LYG,IONQ,RKLB,WBD,HL,CIFR,AXTI,SAN,B,CDE,CVE,PATH,BP,KTOS,EXK,CVX,RUN,CLSK,APLD,DHT,PYPL,GLW,CPNG,DVN,VZ,XYZ,BTG,AVGO,HAL,PBR-A,NVTS,RIVN,FRO,BCS,CNQ,COP,ADT,FSLY,NBIS,GOOG,EQNR,ET,NKE,FCX,UBER,DOW,CMG,WMT
2023-12-26,452300,244200000,8897800,26293700,2204900,27308300,20345000,31750700,60287400,79566200,22157900,26013700,,130928200,86892400,9553900.0,26668600,14410100,9434000,7126500,10112200,,,3015500,2757200,47157400,25067200,16835100,11203900,5778100.0,18694953,5446800.0,14654700,,8151100.0,3523600,1806600,28919300,12673100,24367800,24221000,4285700,24845400,9049800,1401600.0,30119100,13944300,1909500,12556500,2989200,2620300,7225700,1880100,5632300,2168700,2499400.0,7895300,16780300,12047000,5694300,,1851400,22750400,1215300,13273900,5767400,11501500,3592400,5079400,8866800,18716500,17934500,3317800,30471600,164100,1410100,6466200,2240100,4879500,5165600.0,4949600,471100,1578200,5165600,9832100,22123700,2233800.0,1672500,9940600,2201700,3907700.0,8224800,11856600,6135500,3850800,16793000,3594500,3914500,1606100.0,30450100.0,2649400,11781400,4356000,2893600,1366400,1343400,,11170100,956800,8329400,12846700,6701000,16077200,2266200,5330000,11679900
2023-12-27,631700,233648000,10834100,39891300,2940900,24131400,25613000,32918400,52148000,106789700,23428500,44253700,,99997200,106494400,9293100.0,25594200,11897700,8065800,5456400,7815400,,,1974100,5732000,49033400,31434700,14558800,9186300,7588600.0,16431786,7976700.0,17730700,,16095200.0,5919800,2503300,48087700,14905400,52498100,14117000,3122500,24498600,13197400,1204100.0,35000700,15975400,1871500,9116200,2497800,3596800,8364600,2034900,7132900,3810700,1597400.0,7653900,19628600,21273000,7334300,,2254900,27728700,843300,11965700,5627400,9901300,9423700,7987700,7445200,8655100,20714200,5049800,27485500,235800,3301500,12681000,3184400,6233400,5555600.0,6352400,634900,3537900,5337200,11733500,27394000,3525100.0,1303500,11112300,2896300,4008000.0,7982600,15267600,7418800,7229100,20055000,4267500,2857500,1125800.0,22593300.0,2212900,11009200,5286800,3441400,2138000,1595400,,17288400,1110600,7362600,10157900,7172600,20806000,2535300,7290000,19896000
2023-12-28,858000,246587000,9610800,26688500,3077500,22007100,17105000,38990000,27705200,119982200,17093400,26416400,,91988300,113619900,12253300.0,17540700,7926700,6376200,7957800,10931900,,,1662100,3461700,63800700,27057000,16329300,9606200,6366100.0,13089889,14767100.0,15228800,,8604400.0,4936900,3116800,34049900,14327000,58572200,12651000,3691300,21799600,11073600,1654300.0,30472900,13845200,1673500,21671700,1584400,3935000,8534300,2247400,6995300,2144200,1356200.0,16691300,16045700,15808000,6291600,,2380100,32112900,945500,6871600,5689100,10218500,9274000,2444400,5065100,11186700,16578600,4627200,18895700,238700,1983900,12089400,4659300,7040100,3880800.0,5069600,575900,2951500,8148000,8886100,25965600,2485800.0,1909200,11233400,3575000,3591100.0,7843000,14931700,6830500,8322100,21247000,4179200,5437900,1098000.0,25289500.0,1811700,11084100,3533200,3711400,1570500,1788800,,12192500,1281800,8742500,9352900,5426700,13795600,2172600,7515000,16776000
2023-12-29,273700,389293000,21769100,40964700,3749600,19821800,27406000,38943500,29288700,144949700,24308300,38251100,,74905100,100891600,7310700.0,25436700,9366200,10910500,5926200,4984900,,,7625300,3371500,62079200,39823200,17746400,8549200,9799500.0,7108555,8985100.0,22107500,,14597000.0,6455200,2881300,42672100,18730800,55369800,21044000,4007300,28060700,11909300,1771400.0,30363100,16693500,2877700,12177900,2354000,3607600,4483100,2116700,8641800,1844800,2201100.0,17695100,18733000,15818000,7902300,,2055900,33285400,2193800,10966200,6899700,13149400,8654000,3597900,8605300,9212000,20267500,5096900,19616900,295100,2567200,11958500,4817300,8044500,6344500.0,3688000,750700,3484600,7658600,8978400,35949700,4727000.0,1153100,16807400,2855800,3720400.0,9450400,16222700,8244900,10359600,20558000,4759000,1824000,1637500.0,21364500.0,1918800,13868800,3157200,3643600,2493900,2793600,,14881000,1481700,9414400,7667500,6509700,21615400,2271400,9245000,21948300
2024-01-02,902700,411254000,11708100,47494800,4785300,30653400,50494000,41626700,45905700,102571800,34607500,38035000,,81640300,104654200,22009500.0,36400200,10356300,20005500,7456200,10100000,,,2874900,3224200,64902000,47339400,23483000,13597100,7081700.0,11228936,8143700.0,20759800,,11659200.0,6999200,2879700,82488700,25258600,37016700,19042000,7377700,36668600,13970300,1424300.0,57948700,29687000,2471200,14285900,3210600,5174600,12357100,4421900,12105200,5779100,2911100.0,18982900,23711200,22074000,6856400,,2637400,47624300,1483800,12599900,9597500,24784900,11721000,7806400,5951100,6728300,26265000,5068400,10280900,101800,2001300,13275400,4319600,7731700,9387900.0,6915200,946000,3311300,8879700,10876100,24949600,2643200.0,2299600,15248400,4923400,6284400.0,7489500,23810900,15249500,10843900,28831000,5503400,4971500,1653300.0,49626300.0,2286000,21972700,3820000,4688400,5757600,2478700,,20071900,1796700,12487000,9326600,9620900,41978600,3533500,9995000,23539800
2024-01-03,534400,320896000,18458100,70120100,7540700,46730800,34437000,46865200,35858400,96670300,41757700,82970700,,58659300,121082600,18161200.0,43978500,9238000,17239600,7269300,18366800,,,1941300,3860600,61988600,49425500,23490800,12915600,5020800.0,19508221,8034200.0,22437500,,13694100.0,8559300,3415400,58414500,23083500,31323600,16776000,5570500,45988700,13575500,2455600.0,43426500,28496100,5754600,14447400,4643600,3673000,11992200,5758900,6572400,4461300,2896000.0,26467500,24212100,18806000,9475400,,4064100,33612400,1234900,12665300,9455600,30897600,12528200,7227100,6225700,6560000,20179600,8145100,11653400,142200,2219900,24485500,10401900,8540800,9323500.0,8032400,1800200,3895600,10255300,16961000,26263900,3440200.0,2470200,21245800,4439600,5877300.0,7374600,26263900,15374100,11380400,34735000,6926000,7123900,2629500.0,35634500.0,2869300,27234800,4227200,4881900,2988800,2820500,,18974300,2206000,12412600,10573700,13723000,31800600,4120000,8490000,18756000
2024-01-04,414900,306535000,10934100,54920300,4501400,26985100,36365000,39937700,47797800,97753600,29105800,37398900,,38412300,102629300,16669700.0,33978600,11032800,12730300,9423300,13954700,,,2066300,2443000,58610300,56039800,19395200,19134200,3334100.0,18648614,5705300.0,12462900,,9611900.0,5894200,2102200,71983600,20901500,26283000,23111000,4210000,39834600,13891700,1644700.0,45558200,15922900,5221600,10727600,3419500,3655800,20950500,3120100,8268800,4628900,2152800.0,14177800,27137700,11193000,7783400,,9132800,35703700,974500,9227000,6822300,23714300,7396900,7426900,7264400,7896200,19777800,7422100,8359000,131200,2860100,20467200,4931500,9646500,7765200.0,6915000,706800,3345300,8220300,16233200,21026700,3044200.0,2863000,16680400,4008600,7436700.0,8311400,24214600,10021000,9862800,25658000,7153300,5262000,2423900.0,28453000.0,3490900,21791800,9271600,5891500,2116800,1929100,,18253300,1675100,14218700,10420600,11897500,20370700,4579500,8435000,19282500
2024-01-05,402700,415039000,11702700,44443800,12185600,28565900,26313000,57700000,34344000,92250600,37541700,39718000,,40831700,92488900,36599700.0,34785400,10925200,13303300,8016800,9873100,,,3031300,3366800,69657700,45153100,15827400,15483700,3925100.0,21800846,6431200.0,22389500,,8188700.0,6071600,3170700,62379700,21004600,22195400,23431000,3071200,49242400,11985500,2307800.0,33612800,21581000,2608000,12739800,3044800,2700100,17219600,3897800,9827700,3772400,1040300.0,13294300,22513900,9323000,7185200,,3976700,33311400,862600,11228800,6133800,17782200,7165800,9721600,6103600,5860500,20257300,6183400,7679300,108000,3851600,16573200,4897800,9199200,6864400.0,8369000,772400,3852800,7455400,15325100,16480400,2830000.0,4396900,17420200,5701300,6270300.0,7073500,30276700,11150700,8652700,22475000,4473700,3534900,1644500.0,27468400.0,4587500,22603500,2826800,3984600,3526800,1781900,,15439500,2822700,10435200,8044500,8420600,17886300,3796400,9075000,21709500
2024-01-08,324800,642510000,15453700,41514400,4824200,25230700,36758000,49090000,42135100,113019100,61134100,32042200,,49933600,85166600,44489500.0,26151600,19510700,11828500,10343500,14011800,,,2624300,3989200,71756900,46757100,23370100,16219800,7622700.0,12273449,11855900.0,17552000,,17238700.0,5217100,1754600,59144500,23134000,24113500,42626000,3759600,40253900,14624300,2342500.0,32972100,20267500,2434300,12360800,2383200,3626100,13369800,3862200,16693600,2561900,4404000.0,18017700,21404000,25143000,9428600,,2880700,41215100,1998300,12057100,7038700,17359500,7367100,8839200,6044300,6530800,17424200,4718300,12200300,138200,3489000,18051900,6317900,11462200,8764600.0,11581400,720300,2019100,10038200,11682600,30910800,2871200.0,3489600,14264400,6979700,4939700.0,8222300,28483000,9210800,7350800,33110000,8938300,4922500,1447200.0,18745500.0,2784700,21618900,5865000,6769600,1870400,3518900,,17645300,3784100,10525600,9414200,9226300,21213000,3966100,16410000,20680800
2024-01-09,579200,773100000,11399300,49536700,3265800,20549100,35268000,35794500,30097000,84955900,35790700,26168200,,70100900,96705700,22461300.0,21013000,11971400,10714300,8531400,12193300,,,2682600,3115700,67875700,43812600,19496600,12138700,3431500.0,28913594,20448400.0,15103900,,7344300.0,4270000,1755800,42841800,20830000,17777100,67033000,3313700,39268800,9567500,2483800.0,39856900,35649000,1821700,10562000,3367700,3258100,28294300,2962100,18420800,2186400,5220000.0,17677500,24759600,14346000,8151600,,3681100,30338400,709400,30384600,6725200,17237400,15918800,6270100,4920900,6822500,20173700,3766400,6224300,138100,3449900,14814100,6730700,7903900,9310600.0,9485800,835500,3895700,11784700,9477400,18099800,5769200.0,1984900,14877300,4271600,4501300.0,7532800,17880100,8077100,7332400,23225000,7036000,5033800,1416700.0,18403000.0,2614300,22304000,6719800,5935600,1287300,2176700,,19579700,4104100,10954100,7759500,9119800,22319900,4287000,10690000,23322300
2024-01-10,762700,533796000,9214700,37539200,2884900,32855500,43424000,41254400,31480200,140233400,29831200,39487200,,54569600,91628500,43517300.0,24717400,18123300,9172000,10864200,14768500,,,2227500,2274800,56951200,44421800,18206100,10748600,3890500.0,9251965,5701600.0,14848400,,8569200.0,4940700,1991200,46792900,25514200,23629900,53454000,3132900,34904000,9036100,2522000.0,37413300,19372600,1721400,21357300,3317400,2170600,18175800,4105200,17704900,2453500,1967000.0,9743300,21320200,16409000,6012900,,4725900,26893800,795800,23615400,7270500,16532700,12387500,2799800,7384800,5999200,16741500,4517900,8362800,143600,1947600,13048900,4537300,9882300,8844800.0,9578500,916400,2440600,8490400,9880600,31181900,3534000.0,1629300,10137900,2841500,4685200.0,10531300,16354700,8705700,7432100,17643000,5756600,4818300,2311200.0,14916700.0,1911100,21479100,6156600,4445200,1525300,1841500,,16641900,5119400,10322800,6784700,8167500,30788900,4062200,10420000,20121900
2024-01-11,211100,596759000,13916900,48692000,4921000,45007400,79933000,39552400,31707900,213408200,33047700,46166600,,52385000,105873600,36237900.0,23338900,22618900,9513800,9455300,14558100,,,8288200,3441700,62764600,49072700,15833400,10579300,7566200.0,13506380,11816500.0,25547400,,13483000.0,8109400,7066900,49128400,27850800,41921500,41729000,3640300,48790600,13109300,2511400.0,46884700,22803600,1928700,19492100,2674300,3624400,17827300,3350000,8783200,2419300,2424000.0,12935600,24008700,25704000,6194700,,5021300,59137500,1416200,18972900,6119000,25444400,14601400,8888800,7131300,6273200,22352700,6689300,9548500,127700,3528400,14181400,5276900,11372600,7481000.0,10093300,713100,6651200,8612500,14377000,37395900,4211800.0,2885500,11900700,3779700,6528500.0,10739000,31289800,7617700,10255600,25757000,5973900,3139700,3403900.0,22677600.0,2748600,26340600,5728600,4212600,1338400,1722900,,17471100,4544200,14126200,9537700,8279700,28888900,4497400,9120000,14355300
2024-01-12,86900,352994000,12715800,55030100,4861300,32102000,50037000,33952600,27587900,138255700,80523100,49259900,,49034600,123043800,32163800.0,24801400,18532900,11483900,11246000,10015300,,,1902400,3806900,48293100,40484200,18041700,10187500,6151900.0,12607118,5770200.0,16301900,,16539300.0,9180700,3487700,40477800,21661200,26498200,22892000,3212700,74344300,11234700,1973700.0,30373500,19056400,1772300,12371300,3363600,2294500,12510500,4461300,12732800,1857900,2024300.0,14188800,18785500,27403000,6596700,,3584000,32658900,1274800,12920200,9703800,37908000,35358500,7714000,4476900,4361600,16865500,6985200,7413400,97500,2873900,16466500,9034600,12644000,6636100.0,9355200,597600,5552000,9386900,13576900,28056200,5435500.0,3965100,9282600,4333700,6874600.0,12749700,18774800,6612400,8912600,26882000,6783400,3509900,1259800.0,29742200.0,4164100,27873100,9182000,5549800,1476600,2386000,,13998700,2737100,9260800,6680900,7622500,26374700,3673500,6270000,13629000
2024-01-16,438600,449580000,9854300,45207700,4828800,43668500,46790000,32659300,43720700,106408800,55891500,38223300,,121078900,115355000,45000700.0,24477200,15108000,12077800,13323500,11735500,,,2419200,2424700,112711400,41384600,20235700,13713500,6836800.0,21085810,6006400.0,19705800,,9399000.0,13448700,2194400,65603000,27202300,22506100,47329000,4645700,58420800,12248300,2122800.0,38826000,35778100,2543900,11028800,2993900,3831700,15905500,8069500,14966000,2352900,1479700.0,20158400,22670500,16453000,6761000,,3131300,39033400,1746400,9985700,7547200,21209400,35934100,11817100,5654500,6317900,15792600,5245700,7744700,186000,4303000,36002400,6540400,11890900,8735800.0,10905700,691800,3150200,9380400,12948400,28821900,13293900.0,2362500,20907100,5246400,23085900.0,13084600,31039400,9984100,11966800,26145000,6656000,5128700,2135100.0,21092800.0,3121800,20099700,5626200,6677500,2030700,2035700,,19198900,3640500,13438000,10547900,16524400,19511800,5962800,7975000,17032500
2024-01-17,1185600,474394000,11261500,52671300,7030900,68910000,48946000,30832800,33488000,76361100,36991500,41129900,,63011800,103164400,23413300.0,15919000,19678300,8002000,9651200,12433800,,,1902700,3230100,104085000,34953400,18384000,10245400,3818000.0,14755739,4984100.0,20723200,,8611600.0,9428000,3301200,47317400,22234100,10980900,35858000,3200500,48811300,11579200,1331600.0,33312600,20971500,2689900,10282900,5031100,3508300,12857900,7923000,12992700,1738600,1478800.0,46965300,20968600,9766000,11319300,,2685800,39261000,1256100,11219600,7771500,17393500,21463900,11613700,4866400,4845600,15385300,5792500,4366200,191200,3052800,26323900,6817200,15735800,8002900.0,9598300,540400,3794200,8167000,12158900,15470800,6059500.0,1518100,29527400,2826000,19257400.0,11802700,21377100,9588300,10444300,18314000,6985400,3593300,3263100.0,45224100.0,1833800,17339900,5648800,4864100,1563700,2372600,,17884500,2772300,12963400,8226200,11757200,19971600,3469000,9140000,14827800
2024-01-18,298900,491650000,16291300,71667200,4630800,98181700,40544000,35239700,46681300,91998300,58528200,47079900,,71543500,108595400,29272300.0,31558400,13642800,9758100,12283500,10469000,,,2807300,3509400,131864900,37850200,20940300,15077700,5916000.0,16596637,4224300.0,18543300,,8032200.0,8010700,1599400,78005800,23392100,17840700,48751000,4879500,35484400,17948100,2863800.0,50321100,21257600,3214300,7927900,2939100,3808100,19851100,3596700,13695800,2040400,1132500.0,27393900,25746400,16605000,6803300,,3364500,35127800,898400,13400500,10362300,15788100,9994900,9945800,6329300,4912900,13386600,4332300,6261500,158200,2523700,17680200,6375000,19147200,6102300.0,11095000,612000,1754300,11187800,10975300,21855400,5269700.0,1367200,25339500,4969200,6422100.0,10038500,17112800,8226600,9602100,32228000,6635600,2651300,1869400.0,54757100.0,2136600,17159400,7188600,6150900,1302300,2304400,,18876800,2954700,15555800,8852400,10158600,24149900,4230400,7875000,18190500
2024-01-19,160900,543501000,19668100,61143300,6380700,56283100,56724000,40690600,55979800,110136400,38805500,40056300,,82433100,102260300,38676800.0,21539400,15611600,9555300,9597300,8871300,,,3512900,2494700,140367900,51651600,20088400,18156800,6039400.0,25662223,7238500.0,19627800,,7977200.0,6803600,1508600,68903000,29331100,20167500,231125000,4571900,49493600,17837800,1907500.0,35549300,15300300,3119900,13799700,3471300,3438700,42496800,6115700,20328400,1739100,1367300.0,11660000,34271900,11772000,6469800,,3574500,52563000,965700,9835100,11163800,18211000,10596200,9297700,5365700,4340300,18340300,4391200,6364900,47500,2640000,14500800,4932700,8614100,8611000.0,9540500,669400,2569600,11192500,15051000,21516900,5808100.0,1870700,38264600,5534500,6711000.0,9173500,20561700,8642500,9405900,53077000,8909000,5505200,1241600.0,38881400.0,2139600,17320200,3962600,5702200,1472000,4569600,,27181000,2315200,11278500,8517200,13539600,20339400,4171500,15070000,19175400
2024-01-22,471200,452955000,27719100,45479600,7773200,65531500,52123000,85573900,45639500,82482700,38029500,69046700,,74314700,117952500,36535200.0,54155000,11443700,10720700,8047500,9107000,,,2396400,4316100,122973800,43687500,19955900,14371200,5215600.0,28381423,9585800.0,34697500,,9454000.0,8114500,2445600,60133900,27016900,13684500,188233000,7450700,43903400,15674200,1687000.0,41663900,19540600,2934600,11615900,2650300,10536200,18219500,4131800,18491300,2712300,2507300.0,11842700,32200400,11431000,7276500,,2907000,44093400,2127400,10832600,7485300,21573200,10434000,6336000,7254900,5269800,14255200,6108400,5112400,289200,3817400,13851700,7204100,11307700,12982700.0,11724900,881000,2408800,9184600,16797700,20878800,3799700.0,1627000,44006900,5276200,9023700.0,9522600,26039200,10438400,6653100,31222000,11147100,3511800,1601900.0,35812400.0,2089400,15352300,10068600,5740200,1961200,6458500,,21829200,2740700,15926400,9897400,19429000,17851700,5615500,10170000,13938300
