gamma,lambda,vol,finalV,err
50.0,0.005179474679231213,0.19149689021487667,11837091.353200179,0.04149689021487668
50.0,0.019306977288832496,0.16143988597703024,11707619.653743986,0.011439885977030245
50.0,0.07196856730011514,0.09076349076379116,12509784.269535039,0.05923650923620884
50.0,0.2682695795279725,0.040629911041686596,12531310.068319805,0.1093700889583134
50.0,1.0,0.015192095127859444,12199441.452958876,0.13480790487214056
60.0,0.0001,0.18428748716493834,11827588.194852056,0.034287487164938346
60.0,0.0003727593720314938,0.1841426289042274,11783425.90323065,0.034142628904227396
60.0,0.0013894954943731374,0.18376524223789312,11669799.115444621,0.03376524223789312
60.0,0.005179474679231213,0.1816768970962759,11275952.850988748,0.03167689709627591
60.0,0.019306977288832496,0.1437954954420237,11724156.452579053,0.006204504557976304
60.0,0.07196856730011514,0.08303770215202028,12398819.662937501,0.06696229784797972
60.0,0.2682695795279725,0.03846120471314693,12445803.73995634,0.11153879528685307
60.0,1.0,0.014693208361869861,12182705.310019115,0.13530679163813014
70.0,0.0001,0.17612236040204124,11363010.29350193,0.026122360402041245
70.0,0.0003727593720314938,0.17605824581842475,11319915.768136563,0.026058245818424752
70.0,0.0013894954943731374,0.17587633954404733,11165366.861165704,0.025876339544047333
70.0,0.005179474679231213,0.16925538331812634,11051471.000949822,0.019255383318126346
70.0,0.019306977288832496,0.12979376384500527,11756631.962350698,0.020206236154994728
70.0,0.07196856730011514,0.07699350094009808,12310377.414836036,0.07300649905990192
70.0,0.2682695795279725,0.03647665699951538,12386434.439144412,0.11352334300048461
70.0,1.0,0.01426628587797099,12167835.657676924,0.135733714122029
80.0,0.0001,0.16970599054292101,10978371.985255338,0.01970599054292102
80.0,0.0003727593720314938,0.16888915097338594,10965409.832189001,0.01888915097338595
80.0,0.0013894954943731374,0.16590966756121897,10925424.063585097,0.015909667561218976
80.0,0.005179474679231213,0.15521328471575976,11098595.355258716,0.0052132847157597695
80.0,0.019306977288832496,0.11851918070461687,11785094.34459909,0.03148081929538313
80.0,0.07196856730011514,0.0717783798327061,12245236.641513584,0.07822162016729389
80.0,0.2682695795279725,0.03482823272637433,12335931.35564856,0.11517176727362566
80.0,1.0,0.013784997632727176,12155781.365760153,0.13621500236727282
90.0,0.0001,0.15833888101971574,10868365.138090935,0.00833888101971575
90.0,0.0003727593720314938,0.15767889888814313,10858813.099675179,0.007678898888143132
90.0,0.0013894954943731374,0.15530591602453891,10850730.044935856,0.00530591602453892
90.0,0.005179474679231213,0.1430078350444802,11137137.467147043,0.006992164955519797
90.0,0.019306977288832496,0.10909148597710876,11799469.150192592,0.04090851402289124
90.0,0.07196856730011514,0.06739332615544394,12196772.429366892,0.08260667384455606
90.0,0.2682695795279725,0.033408506245219564,12297728.71741162,0.11659149375478042
90.0,1.0,0.013432897217498846,12141436.292526377,0.13656710278250114
100.0,0.0001,0.14801115523295125,10825068.421137566,0.0019888447670487475
100.0,0.0003727593720314938,0.14687524080755515,10846219.662741242,0.0031247591924448426
100.0,0.0013894954943731374,0.14293264523500285,10927063.945381816,0.007067354764997147
100.0,0.005179474679231213,0.13292331421271608,11170831.066764543,0.017076685787283913
100.0,0.019306977288832496,0.10114654436399607,11809309.142994795,0.04885345563600392
100.0,0.07196856730011514,0.06356774242347289,12166263.607414844,0.0864322575765271
100.0,0.2682695795279725,0.032125272649995186,12261823.677053872,0.11787472735000482
100.0,1.0,0.01310754173695173,12129725.414675178,0.13689245826304827
