,equal_weight
2023-09-12,11267840.807259852
2023-09-13,11221586.483549336
2023-09-14,11344589.453508576
2023-09-15,11228148.615750713
2023-09-18,11165686.440799808
2023-09-19,11068370.931160683
2023-09-20,10934241.068621878
2023-09-21,10674236.960952979
2023-09-22,10637088.450492257
2023-09-25,10677704.902561635
2023-09-26,10547249.27431706
2023-09-27,10625164.903030502
2023-09-28,10734458.673809601
2023-09-29,10745898.850388011
2023-10-02,10682005.112685699
2023-10-03,10499057.368262663
2023-10-04,10542032.084390756
2023-10-05,10484250.34558193
2023-10-06,10630755.665887186
2023-10-09,10721861.852369402
2023-10-10,10819359.351892684
2023-10-11,10848970.474373119
2023-10-12,10763369.429377344
2023-10-13,10677352.451724162
2023-10-16,10830065.221943965
2023-10-17,10877761.115184708
2023-10-18,10686184.044932064
2023-10-19,10650089.271584569
2023-10-20,10478817.48666657
2023-10-23,10454648.83051399
2023-10-24,10606680.288427863
2023-10-25,10363238.84683548
2023-10-26,10245073.178969432
2023-10-27,10179812.23206826
2023-10-30,10267173.832642045
2023-10-31,10344594.100921918
2023-11-01,10445034.58366325
2023-11-02,10782550.330887549
2023-11-03,10973074.291099343
2023-11-06,10917962.556869797
2023-11-07,10920997.994602535
2023-11-08,10893269.297039261
2023-11-09,10780488.507719615
2023-11-10,10964346.965998951
2023-11-13,10982177.71615736
2023-11-14,11252105.162085917
2023-11-15,11353069.478154792
2023-11-16,11222965.051348524
2023-11-17,11290181.454437666
2023-11-20,11417684.830604136
2023-11-21,11322864.2711621
2023-11-22,11361173.476163438
2023-11-24,11384648.084136093
2023-11-27,11372082.053876394
2023-11-28,11467938.578052469
2023-11-29,11484803.274686323
2023-11-30,11476702.829455294
2023-12-01,11617460.114977313
2023-12-04,11544127.646209853
2023-12-05,11488238.286422228
2023-12-06,11462715.161640132
2023-12-07,11579242.941177448
2023-12-08,11672574.609414032
2023-12-11,11713846.165284162
2023-12-12,11667747.107898153
2023-12-13,11876968.916861692
2023-12-14,12138381.950862085
2023-12-15,12143611.681811515
2023-12-18,12221648.335716184
2023-12-19,12397056.188777506
2023-12-20,12163269.237553094
2023-12-21,12376478.24574939
2023-12-22,12369170.500501795
2023-12-26,12490850.793074785
2023-12-27,12515830.032427179
2023-12-28,12496626.384466281
2023-12-29,12390953.533525968
2024-01-02,12178262.65266941
2024-01-03,12062614.73634174
2024-01-04,11991680.885029182
2024-01-05,12037145.102217294
2024-01-08,12198358.237391286
2024-01-09,12073846.465254046
2024-01-10,12075238.594035504
2024-01-11,12033728.284556102
2024-01-12,11959622.218879392
2024-01-16,11821907.679293044
2024-01-17,11706332.628933776
2024-01-18,11792361.134057032
2024-01-19,11938998.115857514
2024-01-22,11963339.025320793
2024-01-23,12074889.28314292
2024-01-24,12101158.113642497
2024-01-25,12181365.719608195
2024-01-26,12195638.438668942
2024-01-29,12340010.87996671
2024-01-30,12273534.525505409
2024-01-31,12032024.460980354
2024-02-01,12128272.318249248
2024-02-02,12184890.343636913
2024-02-05,12059392.056170633
2024-02-06,12275871.319686115
2024-02-07,12255930.17691792
2024-02-08,12266495.28257098
2024-02-09,12311360.510594584
2024-02-12,12380783.219592411
2024-02-13,12128377.161727814
2024-02-14,12344324.349993223
2024-02-15,12500292.746303568
2024-02-16,12409281.93738654
2024-02-20,12292990.087602362
2024-02-21,12284440.249023205
2024-02-22,12414058.344523259
2024-02-23,12392096.718058558
2024-02-26,12430700.708188621
2024-02-27,12526156.014223004
2024-02-28,12443830.958270827
2024-02-29,12568018.876037488
2024-03-01,12690688.772274727
2024-03-04,12617556.666440282
2024-03-05,12522209.549296703
2024-03-06,12664801.256816052
2024-03-07,12837960.794596745
2024-03-08,12827633.491258666
2024-03-11,12858328.992479308
2024-03-12,12916337.703923166
2024-03-13,12940462.478429746
2024-03-14,12820265.656776022
2024-03-15,12790906.073162617
2024-03-18,12892411.234176897
2024-03-19,12866343.40848212
2024-03-20,13065451.203479126
2024-03-21,13154442.593270179
2024-03-22,13077720.794108873
2024-03-25,13145521.380898671
2024-03-26,13091369.230909422
2024-03-27,13193134.02702561
2024-03-28,13200400.234396815
2024-04-01,13179906.404167667
2024-04-02,13006301.92173006
2024-04-03,13063009.212447343
2024-04-04,12838859.914869864
2024-04-05,12903682.613490019
2024-04-08,12951468.294918256
2024-04-09,12957833.370522961
2024-04-10,12855615.844464257
2024-04-11,12995458.794378424
2024-04-12,12666384.267842581
2024-04-15,12433381.336155124
2024-04-16,12404902.800199928
2024-04-17,12345239.398219407
2024-04-18,12353718.943299714
2024-04-19,12192432.023353815
2024-04-22,12384516.009237925
2024-04-23,12630162.063864421
2024-04-24,12584675.502992863
2024-04-25,12617572.043710267
2024-04-26,12873194.165090999
2024-04-29,12879517.91768766
2024-04-30,12517535.815901304
2024-05-01,12405792.184046429
2024-05-02,12617851.519557714
2024-05-03,12753563.92355603
2024-05-06,13053434.737731522
2024-05-07,12931738.650569743
2024-05-08,12897030.27791342
2024-05-09,12941938.454078915
2024-05-10,12838466.672213836
2024-05-13,12931244.13499851
2024-05-14,13062330.279780624
2024-05-15,13313346.965745384
2024-05-16,13238319.861467017
2024-05-17,13324277.312805483
2024-05-20,13474713.869867833
2024-05-21,13432473.545438943
2024-05-22,13354202.842261119
2024-05-23,13138625.271657217
2024-05-24,13338761.885888353
2024-05-28,13373054.717829764
