,strategy_risk
2024-05-14,11125983.514497755
2024-05-15,11227993.484008057
2024-05-16,11241175.097347587
2024-05-17,11305012.62026779
2024-05-20,11347896.9586576
2024-05-21,11368713.563604953
2024-05-22,11328912.806071369
2024-05-23,11340180.819773978
2024-05-24,11446789.881162452
2024-05-28,11476715.599712675
2024-05-29,11385813.653989168
2024-05-30,11419282.905708907
2024-05-31,11565156.15447945
2024-06-03,11550201.677246673
2024-06-04,11605658.512221625
2024-06-05,11737057.458612189
2024-06-06,11749084.781545494
2024-06-07,11666882.825202266
2024-06-10,11647027.15448169
2024-06-11,11582128.389508927
2024-06-12,11608318.015072457
2024-06-13,11637742.855043832
2024-06-14,11646065.9148001
2024-06-17,11686312.010489492
2024-06-18,11819185.0940277
2024-06-20,11748237.120075345
2024-06-21,11714344.049453648
2024-06-24,11685572.477327034
2024-06-25,11803120.05489336
2024-06-26,11793757.963900972
2024-06-27,11729192.95641228
2024-06-28,11751656.930473281
2024-07-01,11790498.80589709
2024-07-02,11817634.029699532
2024-07-03,11811144.993666248
2024-07-05,11898016.139948398
2024-07-08,11922347.50858825
2024-07-09,11925656.21075615
2024-07-10,12018446.548014587
2024-07-11,11922657.585944666
2024-07-12,11907046.29598253
2024-07-15,11923689.2862094
2024-07-16,11977459.21048858
2024-07-17,11850859.649122247
2024-07-18,11759363.88461605
2024-07-19,11732598.874481672
2024-07-22,11747240.405949963
2024-07-23,11734521.237406906
2024-07-24,11652814.563876621
2024-07-25,11638720.040095882
2024-07-26,11636223.655187625
2024-07-29,11621498.669860456
2024-07-30,11608508.589215616
2024-07-31,11743274.614949007
2024-08-01,11659403.560695702
2024-08-02,11430624.204806427
2024-08-05,11240526.208117407
2024-08-06,11307185.593700903
2024-08-07,11187770.184151968
2024-08-08,11398739.642841272
2024-08-09,11496647.278803352
2024-08-12,11493083.8535052
2024-08-13,11598461.868269302
2024-08-14,11629027.169646552
2024-08-15,11778620.835762912
2024-08-16,11809572.075748287
2024-08-19,11868533.627014564
2024-08-20,11860365.066319454
2024-08-21,11855197.980965339
2024-08-22,11835235.44195894
2024-08-23,11919266.184863398
2024-08-26,11907743.295501955
2024-08-27,11911531.886511939
2024-08-28,11900452.624585843
2024-08-29,11941924.240369422
2024-08-30,12019483.436473642
2024-09-03,11886008.000227889
2024-09-04,11858165.568701273
2024-09-05,11827306.163780859
2024-09-06,11731099.552230459
2024-09-09,11833980.193165792
2024-09-10,11836285.255996628
2024-09-11,11938150.231968144
2024-09-12,11983555.286549324
2024-09-13,12033101.133710586
2024-09-16,12040772.729015214
2024-09-17,11948863.409710297
2024-09-18,11971831.892362844
2024-09-19,12089819.54375981
2024-09-20,12044747.620273938
2024-09-23,12022913.399561498
2024-09-24,12084607.484630514
2024-09-25,12106989.4616324
2024-09-26,12133446.57876783
2024-09-27,12079471.381983379
2024-09-30,12106145.332178125
2024-10-01,12209451.618619619
2024-10-02,12229483.374481475
2024-10-03,12205479.310078416
2024-10-04,12263351.337594215
2024-10-07,12259707.452290636
2024-10-08,12208363.30648656
2024-10-09,12228589.235394701
2024-10-10,12178072.918328576
2024-10-11,12227491.989269154
2024-10-14,12206480.281274913
2024-10-15,12161593.228414962
2024-10-16,12191624.339765267
2024-10-17,12151576.55759733
2024-10-18,12211197.84084481
2024-10-21,12168923.078201896
2024-10-22,12175598.663927544
2024-10-23,12231985.40462734
2024-10-24,12185365.231407918
2024-10-25,12182518.276969586
2024-10-28,12252030.2140737
2024-10-29,12187817.495989567
2024-10-30,12125922.925520033
2024-10-31,12136690.460952532
2024-11-01,12078853.0758976
2024-11-04,12077967.037184564
2024-11-05,12207302.324245742
2024-11-06,12264688.00736936
2024-11-07,12289360.674074778
2024-11-08,12313182.566978004
2024-11-11,12371704.227055475
2024-11-12,12310285.678281307
2024-11-13,12345053.897148352
2024-11-14,12239330.3644613
2024-11-15,12269939.327195527
2024-11-18,12274008.233316151
2024-11-19,12267882.659126816
2024-11-20,12281120.947353026
2024-11-21,12303788.36142993
2024-11-22,12343552.964535896
2024-11-25,12350241.20037673
2024-11-26,12389270.783552032
2024-11-27,12419931.287792701
2024-11-29,12458054.916035486
2024-12-02,12376984.557580216
2024-12-03,12447785.635164559
2024-12-04,12482532.647005994
2024-12-05,12497657.970792409
2024-12-06,12556950.14127977
2024-12-09,12567884.904950501
2024-12-10,12538454.099153962
2024-12-11,12549032.791051477
2024-12-12,12516070.565538576
2024-12-13,12557859.145560255
2024-12-16,12503018.013709161
2024-12-17,12509831.030349255
2024-12-18,12347944.90249756
2024-12-19,12377425.513335843
2024-12-20,12383923.27944296
2024-12-23,12407265.30241658
2024-12-24,12472430.813034952
2024-12-26,12484308.910423798
2024-12-27,12422381.110644408
2024-12-30,12343971.94231756
2024-12-31,12359403.77499752
2025-01-02,12253757.718694959
2025-01-03,12361402.86835338
2025-01-06,12436251.072077507
2025-01-07,12364408.696914248
2025-01-08,12317492.227234019
2025-01-10,12310755.047541935
2025-01-13,12225980.72705913
2025-01-14,12286158.931432432
2025-01-15,12395404.097878957
2025-01-16,12475118.314243756
2025-01-17,12504206.343576366
2025-01-21,12619677.738201182
2025-01-22,12668911.490549093
2025-01-23,12638020.431587264
2025-01-24,12621589.893004285
2025-01-27,12461759.538757998
2025-01-28,12539642.372912481
2025-01-29,12541461.826293016
2025-01-30,12572175.799932221
2025-01-31,12537203.706219753
2025-02-03,12468945.385015668
2025-02-04,12568965.19331534
2025-02-05,12607550.039705088
2025-02-06,12610638.051263623
2025-02-07,12591120.907489233
2025-02-10,12605688.50072625
2025-02-11,12555069.586261181
2025-02-12,12567112.935161302
2025-02-13,12576335.762344554
2025-02-14,12681498.15565173
2025-02-18,12723350.099844415
2025-02-19,12653180.038734015
2025-02-20,12553027.132538548
2025-02-21,12410012.709905678
2025-02-24,12334638.961090049
2025-02-25,12282257.028702531
2025-02-26,12341952.481836779
2025-02-27,12205250.46478167
2025-02-28,12243451.915038265
2025-03-03,12107806.420848088
2025-03-04,12044705.862628406
2025-03-05,12168009.665419439
2025-03-06,11932792.282526383
2025-03-07,11935368.860759016
2025-03-10,11700986.40831482
2025-03-11,11644883.502722386
2025-03-12,11703018.923367767
2025-03-13,11581669.486091014
2025-03-14,11711041.045765698
2025-03-17,11810519.369800061
2025-03-18,11726170.169599539
2025-03-19,11855962.144107092
2025-03-20,11839231.382176438
2025-03-21,11890475.084096579
2025-03-24,12039421.018949546
2025-03-25,12009519.22246044
2025-03-26,11920291.609622048
2025-03-27,11829418.299705904
2025-03-28,11705979.86117418
2025-03-31,11684879.860420499
2025-04-01,11699164.680097869
2025-04-02,11659555.624759495
2025-04-03,11566274.360630332
2025-04-04,11177750.918275299
2025-04-07,11101935.416141193
2025-04-08,11029885.045463525
2025-04-09,11260351.203899201
