,SPY
2023-08-02,10994087.87768269
2023-08-03,10962581.339685487
2023-08-04,10912997.734075092
2023-08-07,11008253.08294849
2023-08-08,10960381.831011703
2023-08-09,10887109.25532163
2023-08-10,10891016.500086078
2023-08-11,10884666.553946337
2023-08-14,10944751.312759591
2023-08-15,10817256.76939583
2023-08-16,10737878.979461838
2023-08-17,10656056.948958239
2023-08-18,10661184.774813179
2023-08-21,10730550.875335958
2023-08-22,10701485.499519734
2023-08-23,10820676.859160103
2023-08-24,10670711.618015684
2023-08-25,10745938.20088656
2023-08-28,10814082.181124538
2023-08-29,10970396.598811543
2023-08-30,11015581.956671525
2023-08-31,10999461.974627767
2023-09-01,11019976.356436152
2023-09-05,10972349.836395187
2023-09-06,10898590.105704939
2023-09-07,10865128.021332618
2023-09-08,10881491.965675043
2023-09-11,10953055.266080135
2023-09-12,10892972.046461195
2023-09-13,10905672.70833784
2023-09-14,10999705.167329276
2023-09-15,10867178.228158005
2023-09-18,10873552.031809606
2023-09-19,10851001.295924652
2023-09-20,10751243.803684693
2023-09-21,10573543.050610788
2023-09-22,10549767.885649562
2023-09-25,10594132.08334337
2023-09-26,10438490.2935713
2023-09-27,10442656.892577551
2023-09-28,10503198.022504713
2023-09-29,10477707.425481256
2023-10-02,10473540.056877848
2023-10-03,10333341.773248818
2023-10-04,10408588.365645768
2023-10-05,10404665.728938185
2023-10-06,10528199.155736526
2023-10-09,10595602.013912624
2023-10-10,10650751.346160106
2023-10-11,10694379.808972131
2023-10-12,10629182.616247073
2023-10-13,10576238.949450627
2023-10-16,10687517.311126042
2023-10-17,10687027.077737238
2023-10-18,10544620.050268548
2023-10-19,10451972.09656197
2023-10-20,10323536.335875593
2023-10-23,10305643.201982852
2023-10-24,10383343.270115288
2023-10-25,10234319.246293487
2023-10-26,10111766.28627275
2023-10-27,10065931.38841253
2023-10-30,10186279.452579385
2023-10-31,10250252.216228172
2023-11-01,10359567.335556906
2023-11-02,10558101.853259217
2023-11-03,10654426.942180397
2023-11-06,10678937.842023406
2023-11-07,10709331.542532057
2023-11-08,10717174.507155754
2023-11-09,10633593.17755199
2023-11-10,10799529.09889177
2023-11-13,10789234.197726902
2023-11-14,10998553.849982888
2023-11-15,11021838.011958154
2023-11-16,11035319.045351667
2023-11-17,11049046.34983532
2023-11-20,11134096.070814021
2023-11-21,11109829.133269677
2023-11-22,11152722.630797077
2023-11-24,11159586.66783748
2023-11-27,11139488.638090858
2023-11-28,11150517.734943198
2023-11-29,11142674.000722343
2023-11-30,11186548.734624507
2023-12-01,11252726.394127173
2023-12-04,11193656.733963577
2023-12-05,11191451.06851254
2023-12-06,11146351.905534104
2023-12-07,11231402.396109965
2023-12-08,11279688.460914198
2023-12-11,11323562.425219206
2023-12-12,11375278.584550751
2023-12-13,11532144.803399095
2023-12-14,11569154.730663698
2023-12-15,11550106.431438783
2023-12-18,11615078.132196937
2023-12-19,11685707.141653823
2023-12-20,11523776.203917388
2023-12-21,11633042.069028094
2023-12-22,11656421.661050789
2023-12-26,11705642.016803231
2023-12-27,11726805.93861185
2023-12-28,11731234.970248528
2023-12-29,11697274.18691868
2024-01-02,11631811.483174568
