,strategy_risk
2024-03-07,13150590.157810574
2024-03-08,13050708.04240208
2024-03-11,13023074.528304603
2024-03-12,13301786.480653564
2024-03-13,13375917.757470658
2024-03-14,13248417.31594104
2024-03-15,13245617.257719614
2024-03-18,13140585.290889395
2024-03-19,13077941.143920477
2024-03-20,13337140.284470364
2024-03-21,13550702.25446261
2024-03-22,13494094.22901585
2024-03-25,13774952.021465639
2024-03-26,13759526.172426196
2024-03-27,13789030.15437006
2024-03-28,13672955.318808148
2024-04-01,13657792.80640144
2024-04-02,13625141.211642183
2024-04-03,13636376.415552955
2024-04-04,13507756.067490757
2024-04-05,13588620.466084642
2024-04-08,13590551.210156832
2024-04-09,13475849.712116364
2024-04-10,13551511.547750829
2024-04-11,13606765.616966296
2024-04-12,13420965.05906413
2024-04-15,13251234.517017335
2024-04-16,13230646.514466245
2024-04-17,13144259.330769902
2024-04-18,13159480.161262376
2024-04-19,12898747.00513426
2024-04-22,13060039.718677808
2024-04-23,13276297.986658426
2024-04-24,13163452.22108042
2024-04-25,13294224.559711084
2024-04-26,13474475.52432786
2024-04-29,13556536.20163742
2024-04-30,13275093.351622816
2024-05-01,13148833.784248024
2024-05-02,13179585.647005457
2024-05-03,13272830.039897751
2024-05-06,13434966.787637882
2024-05-07,13480150.279504567
2024-05-08,13429919.926290818
2024-05-09,13577664.253838813
2024-05-10,13591774.720100177
2024-05-13,13626349.763727132
2024-05-14,13701986.33361671
2024-05-15,13841103.976823578
2024-05-16,13802192.583130287
2024-05-17,13950646.819442261
2024-05-20,14004280.854937961
2024-05-21,14015225.763001755
2024-05-22,13854190.470224552
2024-05-23,13783409.039066952
2024-05-24,13907648.64956345
2024-05-28,13985299.585677743
2024-05-29,13810939.74130488
2024-05-30,13786459.534397522
2024-05-31,13967498.852907415
2024-06-03,13968530.262905221
2024-06-04,13936584.216111263
2024-06-05,14124426.897257773
2024-06-06,14104767.187150232
2024-06-07,13973871.22961739
2024-06-10,13992903.68444323
2024-06-11,13934245.433739264
2024-06-12,13986953.815776836
2024-06-13,13979789.73284519
2024-06-14,13994081.125414597
2024-06-17,14026155.869262913
2024-06-18,14184234.73689698
2024-06-20,14160991.21149109
2024-06-21,14121084.32886661
2024-06-24,14134385.515200127
2024-06-25,14201313.771788593
2024-06-26,14185552.375576412
2024-06-27,14060634.38956337
2024-06-28,14097319.257890457
2024-07-01,14184512.248204289
2024-07-02,14269963.110120809
2024-07-03,14355583.237099381
2024-07-05,14487673.675403327
2024-07-08,14506022.361892616
2024-07-09,14535814.195063788
2024-07-10,14730245.567891983
2024-07-11,14500490.115261154
2024-07-12,14487878.580788659
2024-07-15,14535173.531734332
2024-07-16,14622098.111515349
2024-07-17,14380695.082820548
2024-07-18,14229898.144068658
2024-07-19,14132575.899655288
2024-07-22,14246729.737300694
2024-07-23,14245945.143480988
2024-07-24,13957901.698744405
2024-07-25,13946145.80594028
2024-07-26,13964486.02254229
2024-07-29,13965865.156474214
2024-07-30,13907144.273778409
2024-07-31,14222664.12658008
2024-08-01,13933599.64055338
2024-08-02,13721563.793202605
2024-08-05,13329429.759113247
2024-08-06,13394294.468291348
2024-08-07,13158798.405090561
2024-08-08,13493317.13703037
2024-08-09,13483346.112007096
2024-08-12,13470196.388167812
2024-08-13,13669628.379215524
2024-08-14,13704931.783394858
2024-08-15,13938810.934076399
2024-08-16,13947628.268272722
2024-08-19,14125212.22780049
2024-08-20,14081643.083586732
2024-08-21,14122511.479770126
2024-08-22,13979295.390298275
2024-08-23,14275009.29653282
2024-08-26,14301516.912169615
2024-08-27,14315453.6833435
2024-08-28,14194406.271502052
2024-08-29,14193412.572163647
2024-08-30,14304725.325276105
2024-09-03,14159216.49657497
2024-09-04,14185658.327047933
2024-09-05,14184899.727827039
2024-09-06,14126397.50120844
2024-09-09,14398901.082365314
2024-09-10,14568972.396465572
2024-09-11,14599108.10107415
2024-09-12,14662081.72446777
2024-09-13,14692298.821677087
2024-09-16,14797116.655135369
2024-09-17,14714022.278149955
2024-09-18,14720699.182040399
2024-09-19,14843186.090222972
2024-09-20,14821412.148177044
2024-09-23,14889681.365241209
2024-09-24,14896483.853648448
2024-09-25,14867564.452255206
2024-09-26,14915992.593442932
2024-09-27,14930266.90788512
2024-09-30,15005166.094522825
2024-10-01,15134924.28504206
2024-10-02,15150397.935944226
2024-10-03,15095678.733210424
2024-10-04,15219876.374134362
2024-10-07,15182645.427415285
2024-10-08,15151191.908562943
2024-10-09,15239324.090692699
2024-10-10,15132844.595143057
2024-10-11,15214632.425755788
2024-10-14,15154082.052508108
2024-10-15,15064238.549509468
2024-10-16,15111068.218730373
2024-10-17,15017615.598314984
2024-10-18,15122518.012701964
2024-10-21,15035226.342847386
2024-10-22,15022234.1602499
2024-10-23,15084245.160756916
2024-10-24,15007512.672291195
2024-10-25,15037466.092201738
2024-10-28,15196402.503148207
2024-10-29,15066104.965744376
2024-10-30,14919799.849029806
2024-10-31,14878769.067785326
2024-11-01,14829049.39243709
2024-11-04,14775125.713356586
2024-11-05,15307254.85913232
2024-11-06,15799274.956236012
2024-11-07,15831122.261976875
2024-11-08,16054618.652222881
2024-11-11,16336111.445016745
2024-11-12,16224944.598109666
2024-11-13,16249950.487467406
2024-11-14,16134469.987310588
2024-11-15,16319865.352711668
2024-11-18,16317267.377676785
2024-11-19,16475550.984209983
2024-11-20,16517875.622477265
2024-11-21,16581373.157998445
2024-11-22,16724246.642966872
2024-11-25,16737239.790399032
2024-11-26,16792215.44324609
2024-11-27,16864356.69206959
2024-11-29,16974820.855871588
2024-12-02,16862746.7912188
2024-12-03,17058354.01962502
2024-12-04,17201076.610648982
2024-12-05,17287599.460459854
2024-12-06,17499473.0687808
2024-12-09,17203616.30159163
2024-12-10,17095834.946447562
2024-12-11,17336499.168943934
2024-12-12,17199345.50104656
2024-12-13,17273715.88835027
2024-12-16,17151903.60955233
2024-12-17,17053666.555798166
2024-12-18,16473315.731790356
2024-12-19,16491347.394548066
2024-12-20,16879048.89211392
2024-12-23,16814748.036516417
2024-12-24,17079365.321031902
2024-12-26,17103680.35913822
2024-12-27,16827643.417903762
2024-12-30,16601513.97520612
2024-12-31,16528995.497579174
2025-01-02,16339416.335916398
2025-01-03,16658527.89673335
2025-01-06,16765401.56690934
2025-01-07,16520716.037970064
2025-01-08,16404987.98669432
2025-01-10,16334506.73126692
2025-01-13,16113896.647906324
2025-01-14,16238682.349999413
2025-01-15,16537253.689519837
2025-01-16,16713200.60883011
2025-01-17,16831000.05567747
2025-01-21,17061487.52716071
2025-01-22,17266318.163675033
2025-01-23,17282710.330157753
2025-01-24,17242553.768003814
2025-01-27,16806924.09277148
2025-01-28,17102606.356622502
2025-01-29,17104830.98271701
2025-01-30,17226380.893494252
2025-01-31,17153624.902361944
2025-02-03,17174785.21452456
2025-02-04,17521798.02696542
2025-02-05,17553248.09613068
2025-02-06,17651159.42390151
2025-02-07,17575320.59717276
2025-02-10,17723878.488983393
2025-02-11,17565446.690379255
2025-02-12,17678454.830486383
2025-02-13,17860441.741979122
2025-02-14,17894715.665153075
2025-02-18,17809687.87746087
2025-02-19,17751061.56076162
2025-02-20,17514863.819798466
2025-02-21,17232053.07733553
2025-02-24,17024936.952371985
2025-02-25,16900974.468517795
2025-02-26,16962063.318006642
2025-02-27,16785032.969906963
2025-02-28,16967342.06930048
2025-03-03,16836611.50203145
2025-03-04,16550591.367144192
2025-03-05,16779150.62550304
2025-03-06,16660928.883385308
2025-03-07,16692429.595949033
2025-03-10,16351883.84763796
2025-03-11,16341681.694058545
2025-03-12,16323847.440299453
2025-03-13,16298889.617379483
2025-03-14,16571781.9102801
2025-03-17,16782552.562004127
2025-03-18,16625233.257603904
2025-03-19,16748788.200137012
2025-03-20,16600433.514137099
2025-03-21,16582383.545386506
2025-03-24,16721033.839286607
2025-03-25,16706163.403459769
2025-03-26,16666701.985099522
2025-03-27,16674821.734545333
2025-03-28,16518859.97544625
2025-03-31,16605471.992293904
2025-04-01,16636810.595775606
2025-04-02,16566722.226567362
2025-04-03,16265200.762989558
2025-04-04,15365438.662029421
2025-04-07,15190918.966365118
2025-04-08,15004314.610793948
2025-04-09,15575439.708666593
2025-04-10,15312092.44607053
2025-04-11,15517063.990344105
2025-04-14,15673968.406180244
2025-04-15,15667258.06307215
2025-04-16,15549204.163914088
2025-04-17,15708478.153257636
2025-04-21,15497834.136027731
2025-04-22,15589825.822764426
2025-04-23,15699585.248177206
2025-04-24,15874608.120115558
2025-04-25,15847668.018525722
2025-04-28,15899321.184399718
2025-04-29,15934227.048842194
2025-04-30,15937990.151465261
2025-05-01,15898518.00460496
2025-05-02,15974956.952288887
2025-05-05,15960159.742406305
2025-05-06,15939427.572569689
2025-05-07,15932770.542677922
2025-05-08,15951163.150647486
2025-05-09,15962362.202559384
2025-05-12,15920552.788873982
2025-05-13,15940507.148004599
2025-05-14,15953731.162715772
2025-05-15,16006963.922222495
2025-05-16,16054434.983843325
2025-05-19,16065536.600695523
2025-05-20,16052441.066323746
2025-05-21,15991287.253966203
2025-05-22,15965113.664484223
2025-05-23,15982091.670636795
2025-05-27,15988570.071836289
2025-05-28,15980103.069267163
2025-05-29,15971628.028294953
2025-05-30,16059363.482749939
2025-06-02,16072202.20318619
2025-06-03,16079563.819811972
2025-06-04,16053707.016323663
2025-06-05,15993087.676790837
2025-06-06,16060380.027147751
2025-06-09,16091627.102466583
2025-06-10,16097569.906916758
2025-06-11,16106850.768659798
2025-06-12,16074185.308214618
2025-06-13,16076333.14744619
2025-06-16,16089199.18598229
2025-06-17,16051020.064188609
2025-06-18,16061005.200481992
2025-06-20,16062933.517302176
2025-06-23,16104951.928473365
2025-06-24,16144031.853932597
2025-06-25,16121886.998651618
2025-06-26,16159704.79121891
2025-06-27,16116417.40395193
2025-06-30,16208107.809769992
2025-07-01,16106950.40244199
2025-07-02,16227524.27853652
2025-07-03,16244996.832348183
2025-07-07,16227938.948807327
2025-07-08,16194320.746643849
2025-07-09,16280148.138351142
2025-07-10,16290292.013989035
2025-07-11,16264069.9026144
2025-07-14,16325973.913880514
2025-07-15,16343383.50588286
2025-07-16,16414029.773281062
2025-07-17,16525484.710754322
2025-07-18,16478638.21044318
2025-07-21,16439042.823806759
2025-07-22,16327875.959398616
2025-07-23,16328742.795986434
2025-07-24,16335736.805857215
2025-07-25,16364308.156085026
2025-07-28,16359394.215650251
2025-07-29,16316046.154904636
2025-07-30,16385101.756233955
2025-07-31,16347139.094640592
2025-08-01,15957082.089759236
2025-08-04,16356548.884334724
2025-08-05,16270863.673015207
2025-08-06,16175569.462329837
2025-08-07,16395215.536016705
2025-08-08,16503016.879476579
2025-08-11,16512843.544635057
2025-08-12,16717882.706562234
2025-08-13,16625688.520960068
2025-08-14,16614328.326545244
2025-08-15,16696095.53431921
2025-08-18,16762026.550601197
2025-08-19,16136634.788320083
2025-08-20,16082624.627523338
2025-08-21,16146050.092160251
2025-08-22,16511698.689980969
2025-08-25,16586531.88316954
2025-08-26,16644981.68464304
2025-08-27,16554475.564863687
2025-08-28,16756385.089093218
2025-08-29,16487482.030060465
2025-09-02,16400278.569605071
2025-09-03,16318112.151095785
2025-09-04,16411446.787264926
2025-09-05,16454332.863496495
2025-09-08,16592657.906221371
2025-09-09,16718088.028372226
2025-09-10,17332311.413455103
2025-09-11,17438751.45505338
2025-09-12,17464907.08609006
2025-09-15,17794721.55202859
2025-09-16,17765722.92539658
2025-09-17,17738576.286206014
2025-09-18,17910381.13326889
2025-09-19,18011642.170611683
2025-09-22,18184900.71478581
2025-09-23,18191023.230264876
2025-09-24,18136876.631631784
2025-09-25,17998915.33818356
2025-09-26,17990810.537071288
2025-09-29,18003853.44117472
2025-09-30,17936347.73738899
2025-10-01,18116579.5936697
2025-10-02,18515420.85216526
2025-10-03,18698916.01045709
2025-10-06,18851097.17194028
2025-10-07,18863358.429712497
2025-10-08,18954014.58907227
2025-10-09,18868500.33769842
2025-10-10,18087330.839498587
2025-10-13,18807695.855055425
2025-10-14,18759283.81936802
2025-10-15,18976181.473373953
2025-10-16,18688434.365148783
2025-10-17,18704045.330228556
2025-10-20,19001040.383991536
2025-10-21,18795582.524374656
2025-10-22,18522902.32143885
2025-10-23,18946145.76783709
2025-10-24,19175992.51953226
2025-10-27,19616718.8414343
2025-10-28,19567764.677827083
2025-10-29,19774592.557584576
2025-10-30,19591470.100292787
2025-10-31,19787468.885772265
2025-11-03,19688566.790646635
2025-11-04,19086139.59859626
2025-11-05,19513041.82858902
2025-11-06,19286665.46335924
2025-11-07,19317314.082663573
2025-11-10,19669294.72524188
2025-11-11,19537932.102931846
2025-11-12,19320186.317731902
2025-11-13,18755863.530905638
2025-11-14,18805979.53838911
2025-11-17,18705443.653250407
2025-11-18,18608198.582401123
2025-11-19,18704733.621989883
2025-11-20,18104629.37463879
2025-11-21,18395731.631029256
2025-11-24,19161990.09749218
