gamma,lambda,vol,finalV,err
90.0,0.019306977288832496,0.06149851833621368,12805624.10578752,0.08850148166378632
90.0,0.07196856730011514,0.03934482703309667,12677856.57220205,0.11065517296690333
90.0,0.2682695795279725,0.020913244529523683,12426619.345870418,0.12908675547047632
90.0,1.0,0.008935645568699704,12186166.735551186,0.14106435443130028
100.0,0.0001,0.07801432494826706,13376928.682003917,0.07198567505173294
100.0,0.0003727593720314938,0.07772799189671989,13341290.487789156,0.0722720081032801
100.0,0.0013894954943731374,0.07652758521571265,13230774.579368155,0.07347241478428734
100.0,0.005179474679231213,0.07203364305562258,12923011.166469919,0.07796635694437741
100.0,0.019306977288832496,0.05698006203022995,12723994.853219949,0.09301993796977004
100.0,0.07196856730011514,0.036951575809842124,12629336.272320447,0.11304842419015787
100.0,0.2682695795279725,0.019944234536163816,12401536.365013294,0.13005576546383618
100.0,1.0,0.008690023151286544,12176242.709779317,0.14130997684871344
